DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION,HOUR
221216776,2022-07-31,2022-07-31,1615,77th Street,BATTERY POLICE (SIMPLE),29.0,M,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,73RD                         ST,16
231411484,2023-05-29,2023-05-29,1130,Pacific,VANDALISM - MISDEAMEANOR ($399 OR UNDER),34.0,M,B,Unknown,Invest Cont,8400    BLERIOT                      AV,11
221710819,2022-06-14,2022-06-14,800,Devonshire,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),35.0,F,F,Unknown,Invest Cont,10900    VANALDEN                     AV,8
231811473,2023-06-04,2023-06-03,2330,Southeast,"BURGLARY, ATTEMPTED",34.0,M,B,Unknown,Invest Cont,8600    DENVER                       AV,23
222019087,2022-12-16,2022-12-16,400,Olympic,THEFT PLAIN - PETTY ($950 & UNDER),57.0,M,H,Unknown,Invest Cont,100 N  MARIPOSA                     AV,4
220119495,2022-08-30,2022-08-29,1903,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),24.0,M,H,Unknown,Invest Cont,700 S  FIGUEROA                     ST,19
221219207,2022-09-07,2022-09-07,1545,77th Street,BATTERY - SIMPLE ASSAULT,60.0,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,5700 S  VERMONT                      AV,15
220116350,2022-07-17,2022-07-17,415,Central,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),71.0,F,O,Unknown,Invest Cont,600 N  GRAND                        AV,4
230708198,2023-04-07,2023-04-04,430,Wilshire,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",29.0,F,B,Unknown,Invest Cont,7700    MELROSE                      AV,4
222117490,2022-12-08,2022-12-08,1830,Topanga,BATTERY - SIMPLE ASSAULT,64.0,M,A,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,SHERMAN                      WY,18
220213041,2022-07-09,2022-07-08,2030,Rampart,BURGLARY FROM VEHICLE,36.0,F,W,Unknown,Invest Cont,3400 W  SUNSET                       BL,20
220410782,2022-07-12,2022-07-05,30,Hollenbeck,CRIMINAL THREATS - NO WEAPON DISPLAYED,20.0,F,H,VERBAL THREAT,Invest Cont,1100 S  MOTT                         ST,0
230607131,2023-03-13,2023-03-13,700,Hollywood,BATTERY - SIMPLE ASSAULT,24.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1200 N  BEACHWOOD                    DR,7
230104635,2023-01-10,2023-01-10,730,Central,THEFT OF IDENTITY,47.0,M,B,Unknown,Invest Cont,100 E  3RD                          ST,7
231405458,2023-01-13,2023-01-13,1305,Pacific,THEFT PLAIN - PETTY ($950 & UNDER),15.0,F,H,Unknown,Invest Cont,5200 W  CENTURY                      BL,13
231404176,2023-01-06,2023-01-06,2045,Pacific,BURGLARY,58.0,M,W,Unknown,Invest Cont,11900    CHARNOCK                     RD,20
221316230,2022-08-18,2022-08-08,1152,Newton,THEFT OF IDENTITY,31.0,F,H,Unknown,Invest Cont,200 E  53RD                         ST,11
231807295,2023-02-14,2023-02-02,540,Southeast,THEFT OF IDENTITY,33.0,F,H,Unknown,Invest Cont,10700 S  CENTRAL                      AV,5
220513899,2022-09-19,2022-09-19,1,Harbor,INTIMATE PARTNER - AGGRAVATED ASSAULT,68.0,F,B,BLUNT INSTRUMENT,Adult Other,100 N  MARSHALL                     CT,0
220318750,2022-10-19,2022-10-19,940,Southwest,BATTERY - SIMPLE ASSAULT,18.0,M,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,EXPOSITION                   BL,9
221321076,2022-11-17,2022-11-13,730,Newton,BURGLARY FROM VEHICLE,48.0,M,O,Unknown,Invest Cont,300 W  53RD                         ST,7
221220233,2022-09-24,2022-09-24,100,77th Street,BATTERY - SIMPLE ASSAULT,45.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,200 E  79TH                         ST,1
230113117,2023-05-27,2023-05-26,2021,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),24.0,M,H,Unknown,Invest Cont,700 S  FIGUEROA                     ST,20
